,cell,ID,wellNum
Cell_2338_1,Cell,2338,1
Cell_2338_10,Cell,2338,10
Cell_2338_11,Cell,2338,11
Cell_2338_12,Cell,2338,12
Cell_2338_13,Cell,2338,13
Cell_2338_14,Cell,2338,14
Cell_2338_15,Cell,2338,15
Cell_2338_16,Cell,2338,16
Cell_2338_17,Cell,2338,17
Cell_2338_18,Cell,2338,18
Cell_2338_19,Cell,2338,19
Cell_2338_2,Cell,2338,2
Cell_2338_20,Cell,2338,20
Cell_2338_21,Cell,2338,21
Cell_2338_22,Cell,2338,22
Cell_2338_3,Cell,2338,3
Cell_2338_4,Cell,2338,4
Cell_2338_5,Cell,2338,5
Cell_2338_6,Cell,2338,6
Cell_2338_7,Cell,2338,7
Cell_2338_8,Cell,2338,8
Cell_2338_9,Cell,2338,9
Cell_2339_1,Cell,2339,1
Cell_2339_10,Cell,2339,10
Cell_2339_11,Cell,2339,11
Cell_2339_12,Cell,2339,12
Cell_2339_13,Cell,2339,13
Cell_2339_14,Cell,2339,14
Cell_2339_15,Cell,2339,15
Cell_2339_16,Cell,2339,16
Cell_2339_17,Cell,2339,17
Cell_2339_2,Cell,2339,2
Cell_2339_3,Cell,2339,3
Cell_2339_4,Cell,2339,4
Cell_2339_5,Cell,2339,5
Cell_2339_6,Cell,2339,6
Cell_2339_7,Cell,2339,7
Cell_2339_8,Cell,2339,8
Cell_2339_9,Cell,2339,9
Cell_BJ_1,Cell,BJ,1
Cell_BJ_10,Cell,BJ,10
Cell_BJ_11,Cell,BJ,11
Cell_BJ_12,Cell,BJ,12
Cell_BJ_13,Cell,BJ,13
Cell_BJ_14,Cell,BJ,14
Cell_BJ_15,Cell,BJ,15
Cell_BJ_16,Cell,BJ,16
Cell_BJ_17,Cell,BJ,17
Cell_BJ_18,Cell,BJ,18
Cell_BJ_19,Cell,BJ,19
Cell_BJ_2,Cell,BJ,2
Cell_BJ_20,Cell,BJ,20
Cell_BJ_21,Cell,BJ,21
Cell_BJ_22,Cell,BJ,22
Cell_BJ_23,Cell,BJ,23
Cell_BJ_24,Cell,BJ,24
Cell_BJ_25,Cell,BJ,25
Cell_BJ_26,Cell,BJ,26
Cell_BJ_28,Cell,BJ,28
Cell_BJ_29,Cell,BJ,29
Cell_BJ_27,Cell,BJ,27
Cell_BJ_3,Cell,BJ,3
Cell_BJ_30,Cell,BJ,30
Cell_BJ_32,Cell,BJ,32
Cell_BJ_31,Cell,BJ,31
Cell_BJ_33,Cell,BJ,33
Cell_BJ_34,Cell,BJ,34
Cell_BJ_35,Cell,BJ,35
Cell_BJ_36,Cell,BJ,36
Cell_BJ_37,Cell,BJ,37
Cell_BJ_4,Cell,BJ,4
Cell_BJ_5,Cell,BJ,5
Cell_BJ_6,Cell,BJ,6
Cell_BJ_7,Cell,BJ,7
Cell_BJ_8,Cell,BJ,8
Cell_BJ_9,Cell,BJ,9
Cell_GW16_1,Cell,GW16,1
Cell_GW16_10,Cell,GW16,10
Cell_GW16_11,Cell,GW16,11
Cell_GW16_12,Cell,GW16,12
Cell_GW16_13,Cell,GW16,13
Cell_GW16_14,Cell,GW16,14
Cell_GW16_15,Cell,GW16,15
Cell_GW16_16,Cell,GW16,16
Cell_GW16_17,Cell,GW16,17
Cell_GW16_18,Cell,GW16,18
Cell_GW16_19,Cell,GW16,19
Cell_GW16_2,Cell,GW16,2
Cell_GW16_20,Cell,GW16,20
Cell_GW16_21,Cell,GW16,21
Cell_GW16_22,Cell,GW16,22
Cell_GW16_23,Cell,GW16,23
Cell_GW16_24,Cell,GW16,24
Cell_GW16_26,Cell,GW16,26
Cell_GW16_25,Cell,GW16,25
Cell_GW16_3,Cell,GW16,3
Cell_GW16_4,Cell,GW16,4
Cell_GW16_5,Cell,GW16,5
Cell_GW16_6,Cell,GW16,6
Cell_GW16_7,Cell,GW16,7
Cell_GW16_8,Cell,GW16,8
Cell_GW16_9,Cell,GW16,9
Cell_GW21_1,Cell,GW21,1
Cell_GW21_2,Cell,GW21,2
Cell_GW21_3,Cell,GW21,3
Cell_GW21_4,Cell,GW21,4
Cell_GW21_6,Cell,GW21,6
Cell_GW21_5,Cell,GW21,5
Cell_GW21_7,Cell,GW21,7
Cell_GW21_8,Cell,GW21,8
Cell_GW21.3_1,Cell,GW21.3,1
Cell_GW21.3_10,Cell,GW21.3,10
Cell_GW21.3_11,Cell,GW21.3,11
Cell_GW21.3_12,Cell,GW21.3,12
Cell_GW21.3_13,Cell,GW21.3,13
Cell_GW21.3_14,Cell,GW21.3,14
Cell_GW21.3_15,Cell,GW21.3,15
Cell_GW21.3_16,Cell,GW21.3,16
Cell_GW21.3_2,Cell,GW21.3,2
Cell_GW21.3_3,Cell,GW21.3,3
Cell_GW21.3_4,Cell,GW21.3,4
Cell_GW21.3_5,Cell,GW21.3,5
Cell_GW21.3_6,Cell,GW21.3,6
Cell_GW21.3_7,Cell,GW21.3,7
Cell_GW21.3_8,Cell,GW21.3,8
Cell_GW21.3_9,Cell,GW21.3,9
Cell_HL60_1,Cell,HL60,1
Cell_HL60_10,Cell,HL60,10
Cell_HL60_11,Cell,HL60,11
Cell_HL60_13,Cell,HL60,13
Cell_HL60_12,Cell,HL60,12
Cell_HL60_14,Cell,HL60,14
Cell_HL60_15,Cell,HL60,15
Cell_HL60_16,Cell,HL60,16
Cell_HL60_17,Cell,HL60,17
Cell_HL60_18,Cell,HL60,18
Cell_HL60_19,Cell,HL60,19
Cell_HL60_2,Cell,HL60,2
Cell_HL60_20,Cell,HL60,20
Cell_HL60_21,Cell,HL60,21
Cell_HL60_22,Cell,HL60,22
Cell_HL60_23,Cell,HL60,23
Cell_HL60_24,Cell,HL60,24
Cell_HL60_25,Cell,HL60,25
Cell_HL60_26,Cell,HL60,26
Cell_HL60_27,Cell,HL60,27
Cell_HL60_28,Cell,HL60,28
Cell_HL60_3,Cell,HL60,3
Cell_HL60_30,Cell,HL60,30
Cell_HL60_31,Cell,HL60,31
Cell_HL60_29,Cell,HL60,29
Cell_HL60_32,Cell,HL60,32
Cell_HL60_33,Cell,HL60,33
Cell_HL60_34,Cell,HL60,34
Cell_HL60_36,Cell,HL60,36
Cell_HL60_35,Cell,HL60,35
Cell_HL60_37,Cell,HL60,37
Cell_HL60_38,Cell,HL60,38
Cell_HL60_39,Cell,HL60,39
Cell_HL60_4,Cell,HL60,4
Cell_HL60_40,Cell,HL60,40
Cell_HL60_41,Cell,HL60,41
Cell_HL60_42,Cell,HL60,42
Cell_HL60_43,Cell,HL60,43
Cell_HL60_44,Cell,HL60,44
Cell_HL60_45,Cell,HL60,45
Cell_HL60_46,Cell,HL60,46
Cell_HL60_47,Cell,HL60,47
Cell_HL60_48,Cell,HL60,48
Cell_HL60_49,Cell,HL60,49
Cell_HL60_5,Cell,HL60,5
Cell_HL60_50,Cell,HL60,50
Cell_HL60_51,Cell,HL60,51
Cell_HL60_52,Cell,HL60,52
Cell_HL60_53,Cell,HL60,53
Cell_HL60_54,Cell,HL60,54
Cell_HL60_6,Cell,HL60,6
Cell_HL60_7,Cell,HL60,7
Cell_HL60_8,Cell,HL60,8
Cell_HL60_9,Cell,HL60,9
Cell_iPS_1,Cell,iPS,1
Cell_iPS_10,Cell,iPS,10
Cell_iPS_11,Cell,iPS,11
Cell_iPS_12,Cell,iPS,12
Cell_iPS_14,Cell,iPS,14
Cell_iPS_15,Cell,iPS,15
Cell_iPS_16,Cell,iPS,16
Cell_iPS_17,Cell,iPS,17
Cell_iPS_18,Cell,iPS,18
Cell_iPS_2,Cell,iPS,2
Cell_iPS_19,Cell,iPS,19
Cell_iPS_21,Cell,iPS,21
Cell_iPS_20,Cell,iPS,20
Cell_iPS_22,Cell,iPS,22
Cell_iPS_23,Cell,iPS,23
Cell_iPS_24,Cell,iPS,24
Cell_iPS_3,Cell,iPS,3
Cell_iPS_4,Cell,iPS,4
Cell_iPS_5,Cell,iPS,5
Cell_iPS_6,Cell,iPS,6
Cell_iPS_7,Cell,iPS,7
Cell_iPS_8,Cell,iPS,8
Cell_iPS_9,Cell,iPS,9
Cell_K562_1,Cell,K562,1
Cell_K562_10,Cell,K562,10
Cell_K562_11,Cell,K562,11
Cell_K562_13,Cell,K562,13
Cell_K562_12,Cell,K562,12
Cell_K562_15,Cell,K562,15
Cell_K562_14,Cell,K562,14
Cell_K562_16,Cell,K562,16
Cell_K562_17,Cell,K562,17
Cell_K562_18,Cell,K562,18
Cell_K562_19,Cell,K562,19
Cell_K562_2,Cell,K562,2
Cell_K562_20,Cell,K562,20
Cell_K562_21,Cell,K562,21
Cell_K562_22,Cell,K562,22
Cell_K562_23,Cell,K562,23
Cell_K562_24,Cell,K562,24
Cell_K562_25,Cell,K562,25
Cell_K562_26,Cell,K562,26
Cell_K562_27,Cell,K562,27
Cell_K562_28,Cell,K562,28
Cell_K562_29,Cell,K562,29
Cell_K562_3,Cell,K562,3
Cell_K562_30,Cell,K562,30
Cell_K562_31,Cell,K562,31
Cell_K562_32,Cell,K562,32
Cell_K562_33,Cell,K562,33
Cell_K562_34,Cell,K562,34
Cell_K562_35,Cell,K562,35
Cell_K562_36,Cell,K562,36
Cell_K562_37,Cell,K562,37
Cell_K562_38,Cell,K562,38
Cell_K562_39,Cell,K562,39
Cell_K562_4,Cell,K562,4
Cell_K562_40,Cell,K562,40
Cell_K562_41,Cell,K562,41
Cell_K562_5,Cell,K562,5
Cell_K562_42,Cell,K562,42
Cell_K562_6,Cell,K562,6
Cell_K562_7,Cell,K562,7
Cell_K562_8,Cell,K562,8
Cell_K562_9,Cell,K562,9
Cell_Kera_1,Cell,Kera,1
Cell_Kera_10,Cell,Kera,10
Cell_Kera_11,Cell,Kera,11
Cell_Kera_12,Cell,Kera,12
Cell_Kera_13,Cell,Kera,13
Cell_Kera_14,Cell,Kera,14
Cell_Kera_15,Cell,Kera,15
Cell_Kera_16,Cell,Kera,16
Cell_Kera_17,Cell,Kera,17
Cell_Kera_18,Cell,Kera,18
Cell_Kera_19,Cell,Kera,19
Cell_Kera_2,Cell,Kera,2
Cell_Kera_20,Cell,Kera,20
Cell_Kera_21,Cell,Kera,21
Cell_Kera_22,Cell,Kera,22
Cell_Kera_23,Cell,Kera,23
Cell_Kera_24,Cell,Kera,24
Cell_Kera_25,Cell,Kera,25
Cell_Kera_26,Cell,Kera,26
Cell_Kera_27,Cell,Kera,27
Cell_Kera_28,Cell,Kera,28
Cell_Kera_29,Cell,Kera,29
Cell_Kera_3,Cell,Kera,3
Cell_Kera_30,Cell,Kera,30
Cell_Kera_31,Cell,Kera,31
Cell_Kera_32,Cell,Kera,32
Cell_Kera_33,Cell,Kera,33
Cell_Kera_34,Cell,Kera,34
Cell_Kera_35,Cell,Kera,35
Cell_Kera_36,Cell,Kera,36
Cell_Kera_37,Cell,Kera,37
Cell_Kera_38,Cell,Kera,38
Cell_Kera_39,Cell,Kera,39
Cell_Kera_4,Cell,Kera,4
Cell_Kera_40,Cell,Kera,40
Cell_Kera_5,Cell,Kera,5
Cell_Kera_6,Cell,Kera,6
Cell_Kera_7,Cell,Kera,7
Cell_Kera_8,Cell,Kera,8
Cell_Kera_9,Cell,Kera,9
Cell_NPC_1,Cell,NPC,1
Cell_NPC_10,Cell,NPC,10
Cell_NPC_11,Cell,NPC,11
Cell_NPC_12,Cell,NPC,12
Cell_NPC_13,Cell,NPC,13
Cell_NPC_14,Cell,NPC,14
Cell_NPC_15,Cell,NPC,15
Cell_NPC_2,Cell,NPC,2
Cell_NPC_3,Cell,NPC,3
Cell_NPC_4,Cell,NPC,4
Cell_NPC_5,Cell,NPC,5
Cell_NPC_6,Cell,NPC,6
Cell_NPC_7,Cell,NPC,7
Cell_NPC_8,Cell,NPC,8
Cell_NPC_9,Cell,NPC,9
